serving_size_raw_mintel,serving_size_raw_loblaws,serving_size_raw_exact_match,name_mintel,name_loblaws,name_exact_match,calories_mintel,calories_loblaws,calories_exact_match,saturatedfat_mintel,saturatedfat_loblaws,saturatedfat_exact_match,sodium_mintel,sodium_loblaws,sodium_exact_match,upc_code,total_match_count
15 ml,14 G,False,100% Pure Sesame Oil,Pure Sesame Oil,False,120.0,120.0,True,2.0,2.0,True,0.0,0.0,True,8112100281.0,3
10 ml,10 ml,True,Oil Blend,Avocado Oil Plus,False,80.0,80.0,True,1.0,1.0,True,,0.0,False,11115000274.0,3
10 g,10 g,True,Margarine with Olive Oil,Margarine with Olive Oil,True,70.0,70.0,True,1.0,1.0,True,0.07,0.07,True,11115001189.0,5
10 g,10 g,True,Unsalted Plant-Based Spread,Plant Based Spread Unsalted,False,70.0,70.0,True,4.0,4.0,True,0.0,0.0,True,11115001547.0,4
10 g,10 g,True,Salted Plant-Based Spread,Becel Salted Plt Based Brick,False,70.0,70.0,True,4.0,4.0,True,0.075,0.075,True,11115001554.0,4
4 g,8.0 g,False,Organic Light Brown Sugar,Organic Light Brown Sugar,True,15.0,30.0,False,,0.0,False,,0.002,False,12511446413.0,1
57 g,57 g,True,Classic Cheddar Macaroni & Cheese,"Macaroni & Cheese, Classic Mild Cheddar",False,210.0,210.0,True,1.0,1.5,False,0.43,0.43,True,13562000500.0,3
104 g,104 g,True,Deluxe Shells & White Cheddar Macaroni & Cheese Sauce,Deluxe White Cheddar,False,330.0,330.0,True,6.0,6.0,True,0.79,0.79,True,13562119035.0,4
104 g,104 g,True,Deluxe Shells & Cheddar Macaroni & Cheese Sauce,Deluxe Cheddar,False,330.0,330.0,True,5.0,5.0,True,0.76,0.76,True,13562119042.0,4
50 g,,False,Lightly Salted Pistachios,Pistachios No Shells Roasted Light Salt,False,290.0,,False,3.0,,False,0.115,,False,14113700092.0,0
50 g,,False,Chilli Roasted Pistachios,Pistachios No Shells Chili Roasted,False,300.0,,False,3.0,,False,0.43,,False,14113911016.0,0
50 g,,False,Honey Roasted Pistachios,Pistachios No Shells Honey Roasted,False,310.0,,False,3.0,,False,0.16,,False,14113911023.0,0
