serving_size_raw_mintel,serving_size_raw_walmart,serving_size_raw_exact_match,name_mintel,name_walmart,name_exact_match,calories_mintel,calories_walmart,calories_exact_match,saturatedfat_mintel,saturatedfat_walmart,saturatedfat_exact_match,sodium_mintel,sodium_walmart,sodium_exact_match,upc_code,total_match_count
27 g,nan,False,Creamy Chocolate Smoothie Mix,SLIM-FAST SlimFast Advanced Nutrition Smoothie Creamy Chocolate Meal Replacement Shake Mix,False,100.0,,False,0.0,,False,0.17,,False,834640021.0,0
10 g,10 g,True,Margarine with Olive Oil,Becel Olive Oil Margarine,False,70.0,70.0,True,1.0,1.0,True,0.07,0.07,True,1111500118.0,3
10 g,10 g,True,Unsalted Plant-Based Spread,Becel Unsalted Plant-Based Brick,False,70.0,70.0,True,4.0,4.0,True,0.0,0.0,True,1111500154.0,3
10 g,10 g,True,Salted Plant-Based Spread,Becel Salted Plant-Based Brick,False,70.0,70.0,True,4.0,4.0,True,0.075,0.075,True,1111500155.0,3
57 g,57 g,True,Classic Cheddar Macaroni & Cheese,Annies Homegrown Macaroni & Cheese Classic Cheddar,False,210.0,210.0,True,1.0,1.5,False,0.43,0.43,True,1356200050.0,2
50 g,nan,False,Lightly Salted Pistachios,"Wonderful Pistachios, No Shells, Roasted Lightly Salted, 170 g Resealable Bag",False,290.0,,False,3.0,,False,0.115,,False,1411370009.0,0
50 g,nan,False,Chilli Roasted Pistachios,"Wonderful Pistachios, No Shells, Chili Roasted, 156 g Resealable Bag",False,300.0,,False,3.0,,False,0.43,,False,1411391101.0,0
50 g,nan,False,Honey Roasted Pistachios,"Wonderful Pistachios, No Shells, Honey Roasted, 155 g Resealable Bag",False,310.0,,False,3.0,,False,0.16,,False,1411391102.0,0
50 g,50 g,True,Chocolate Crunch Cereal,"Kashi Golean Chocolate Crunch Cereal, 345g",False,200.0,200.0,True,1.0,1.5,False,0.115,0.115,True,1862710263.0,2
0.5 g,nan,False,Non-Stick Coconut Oil Cooking Spray,Spectrum Coconut Oil Non-Stick Cooking Spray,False,0.0,,False,,,False,,,False,2250606560.0,0
,nan,False,Lemon Ginger Tea Bags,Triple Leaf Lemon Ginger Tea Bags,False,,,False,,,False,,,False,2399100023.0,0
125 ml,nan,False,Pinto Beans,Eden Foods Organic Pinto Beans,False,110.0,,False,0.0,,False,0.015,,False,2418200350.0,0
125 ml,nan,False,Butter Beans,Eden Foods Organic Butter Beans,False,100.0,,False,0.0,,False,0.035,,False,2418200359.0,0
250 ml,250 ml,True,Dark Chocolate Flavour Fortified Almond Beverage,"SILK Almond Beverage, Dark Chocolate Flavour, 1.89L",False,100.0,100.0,True,0.0,0.3,False,0.23,0.23,True,2529300135.0,2
250 ml,250 ml,True,Original Fortified Coconut Beverage,"SILK Coconut Beverage, Original, Dairy-Free, 1.89L",False,80.0,80.0,True,4.0,4.5,False,0.03,,False,2529300152.0,1
250 ml,250 ml,True,Vanilla Fortified Almond Beverage,"SILK Almond Beverage, Vanilla Flavour, Dairy-Free, 1.89L",False,90.0,90.0,True,0.0,0.2,False,0.16,0.16,True,2529300168.0,2
250 ml,250 ml,True,Unsweetened Fortified Coconut Beverage,"SILK Coconut Beverage, Unsweetened Original, Dairy-Free, 1.89L",False,45.0,,False,3.0,,False,0.03,,False,2529300244.0,0
250 ml,250 ml,True,Unsweetened Fortified Almond Coconut Beverage,"SILK Almond Coconut Blend Beverage, Unsweetened, Dairy-Free, 1.89L",False,35.0,,False,1.0,,False,0.28,0.28,True,2529300250.0,1
250 ml,250 ml,True,Original Fortified Cashew Beverage,"SILK Creamy Cashew Beverage, Original, Dairy-Free, 1.89L",False,60.0,60.0,True,0.0,,False,0.16,0.16,True,2529300297.0,2
250 ml,250 ml,True,Unsweetened Fortified Cashew Beverage,"SILK Creamy Cashew Beverage, Unsweetened Original, Dairy-Free, 1.89L",False,25.0,,False,0.0,0.4,False,0.16,0.16,True,2529300298.0,1
250 ml,nan,False,Dark Chocolate Flavoured Fortified Almond Beverage,"SILK Almond Milk, Dark Chocolate Flavour, Dairy-Free, 946ml",False,120.0,,False,0.0,,False,0.16,,False,2529300552.0,0
250 ml,250 ml,True,Dark Chocolate Fortified Soy Beverage,"SILK Soy Beverage, Chocolate Flavour, Dairy-Free, 1.89L",False,140.0,,False,0.0,0.5,False,0.085,,False,2529360075.0,0
15 ml,15 ml,True,Original Soy Beverage for Coffee,"SILK Soy Original Coffee Creamer, 473ml",False,,,False,0.0,,False,0.0,,False,2529360076.0,0
,nan,False,Lively Colombian Coffee K Cup Pods,Folgers Lively Colombian K-Cup Coffee Pods 30 Count,False,,,False,,,False,,,False,2550020414.0,0
22 g,nan,False,Original Mashed Potatoes,Idahoan Instant Mashed Potatoes,False,80.0,,False,0.0,,False,0.01,,False,2970000114.0,0
28 g,nan,False,Four Cheese Mashed Potatoes,Idahoan Four Cheese Mashed Potatoes,False,110.0,,False,1.0,,False,0.58,,False,2970080145.0,0
28 g,nan,False,Butter & Herb Mashed Potatoes,Idahoan Butter & Herb Mashed Potatoes,False,110.0,,False,2.0,,False,0.52,,False,2970080146.0,0
28 g,nan,False,Roasted Garlic Mashed Potatoes,Idahoan Roasted Garlic Mashed Potatoes,False,110.0,,False,1.0,,False,0.59,,False,2970080147.0,0
30 g,nan,False,Arrowroot Animal Crunchy Cookies,Mi-Del Gluten Free Arrowroot Cookies,False,130.0,,False,1.0,,False,0.07,,False,3068457192.0,0
