id,created,modified,product_code,name,brand,description,most_recent,variety_pack,breadcrumbs_text,breadcrumbs_array,batch_id,store,price,price_float,price_units,upc_code,upc_array,nutrition_available,unidentified_nft_format,nielsen_product,url,atwater_result,storage,manufacturer,ultimate_company,private_label,predicted_category,predicted_subcategory,manual_category,manual_subcategory,predicted_category_id,predicted_subcategory_id,manual_category_id,manual_subcategory_id,product_id,total_size,serving_size_raw,serving_size,serving_size_units,ingredients,calories,sodium,sodium_dv,calcium,calcium_dv,totalfat,totalfat_dv,monounsaturated_fat,polyunsaturated_fat,omega3fattyacids,omega6fattyacids,saturatedfat,saturatedfat_dv,transfat,transfat_dv,potassium,potassium_dv,totalcarbohydrate,totalcarbohydrate_dv,othercarbohydrates,dietaryfiber,dietaryfiber_dv,sugar,sugar_dv,protein,cholesterol,cholesterol_dv,copper,copper_dv,choline,choline_dv,chromium,chromium_dv,vitamina,vitamina_dv,vitaminc,vitaminc_dv,vitamind,vitamind_dv,vitamine,vitamine_dv,niacin,niacin_dv,vitaminb6,vitaminb6_dv,folacin,folate,folate_dv,vitaminb12,vitaminb12_dv,pantothenicacid,pantothenate,pantothenate_dv,alcohol,alcohol_dv,erythritol,glycerol,isomalt,lactitol,maltitol,mannitol,polydextrose,sorbitol,biotin,biotin_dv,xylitol,iron,iron_dv,riboflavin,riboflavin_dv,selenium,selenium_dv,starch,magnesium,magnesium_dv,manganese,manganese_dv,molybdenum,molybdenum_dv,phosphorus,phosphorus_dv,thiamine,thiamine_dv,zinc,zinc_dv,soluble_fibre,insoluble_fibre,sugar_alcohols,vitamink,vitamink_dv,iodide,iodide_dv,chloride,chloride_dv,id_x,created_x,modified_x,category_id,subcategory_id,id_y,created_y,modified_y
581485.0,2021-05-19 19:04:17.543414+00:00,2021-05-19 19:43:43.608723+00:00,7282717,Spicy Italian Veggie Sausages,Yves Veggie Cuisine,"Yves Veggie Cuisine Spicy Italian Veggie Sausages have been repackaged. The plant-based simulated sausages are kosher certified, contain no meat or GMO, and are a good source of protein. This product is suitable for home freezing, is made from domestic and imported ingredients, and retails in a redesigned 380g pack featuring the Terracycle logo.",True,False,,,70,MINTEL,,,,6082200026.0,,,False,,http://www.gnpd.com/sinatra/recordpage/7282717/,Within Threshold,,,,,"Meat and Poultry, Products and Substitutes",Sausage,,,L,L.5,,,581485,380 g,95 g,,,"Water, soy protein, wheat gluten, textured soy protein, canola oil, seasoning, spices, natural flavours, cane sugar, modified cellulose, red pepper, carrageenan (from seaweed), wheat starch, natural liquid smoke, salt, yeast extract, potassium chloride, beetroot powder, vitamin blend, mineral blend",150.0,0.61,0.25,,0.06,5.0,0.08,,,,,0.0,,0.0,,0.4,0.11,8.0,0.03,,,,,,18.0,0.0,,,,,,,,,0.04,,0.1,,,,,,0.25,,,,,,,,,,0.1,,,,,,,,,,,,,,,0.35,,0.1,,,,,0.08,,,,,,,,0.3,,0.4,,,,,,,,,,,,,,,,,
581506.0,2021-05-19 19:04:18.298098+00:00,2021-05-19 19:43:43.773351+00:00,7263287,Butternut Squash,Great Value,Great Value Butternut Squash is now available in a newly designed pack. The Canada A grade product is kosher certified and 100% natural with no preservatives added. It can be heated in the microwave and retails in a 500g resealable pack bearing preparation instructions.,True,False,,,70,MINTEL,,,,62891582749.0,,,False,,http://www.gnpd.com/sinatra/recordpage/7263287/,Within Threshold,,,,,Vegetables,Vegetable without sauce,,,V,V.1,,,581506,500 g,85 g,,,Butternut squash,35.0,0.0,0.0,,0.02,0.0,0.0,,,,,0.0,,0.0,,,,9.0,0.03,,,,,,1.0,0.0,,,,,,,,,0.3,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581508.0,2021-05-19 19:04:18.369152+00:00,2021-05-19 19:43:43.780679+00:00,7263297,Ice Cream Sandwich Pudding,Snack Pack Bakery Shop Desserts Gourmands,"Snack Pack Bakery Shop Desserts Gourmands Ice Cream Sandwich Pudding has been repackaged in a 396g pack with 4 x 99g units. The kosher certified product has simulated flavour, is made with skim milk and real cocoa and is free from gluten and preservatives.",True,False,,,70,MINTEL,,,,5880741295.0,,,False,,http://www.gnpd.com/sinatra/recordpage/7263297/,Within Threshold,,,,,Desserts,"Custard, gelatin, pudding",,,E,E.5,,,581508,99 g,99 g,,,"Water, skim milk from concentrate (water, concentrated skim milk), sugar, modified corn starch, modified palm oil, cocoa, salt, natural flavours, artificial flavours, sodium stearoyl lactylate, sodium phosphate, titanium dioxide, caramel",110.0,0.135,0.06,0.02,0.02,3.0,0.05,,,,,2.0,,0.0,,0.075,0.02,20.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581504.0,2021-05-19 19:04:18.227447+00:00,2021-05-19 19:43:43.751490+00:00,7263281,Bean and Carrot Medley,Great Value,"Great Value Bean and Carrot Medley has been repackaged. The grade A product is 100% natural with no preservatives added, and can be cooked in the microwave. It retails in a 500g pack bearing preparation instructions.",True,False,,,70,MINTEL,,,,62891575177.0,,,False,,http://www.gnpd.com/sinatra/recordpage/7263281/,Within Threshold,,,,,Vegetables,Vegetable without sauce,,,V,V.1,,,581504,500 g,85 g,,,"Whole green beans, whole wax beans, whole baby carrots",35.0,0.025,0.01,,0.04,0.0,0.0,,,,,0.0,,0.0,,,,7.0,0.02,,,,,,1.0,0.0,,,,,,,,,0.1,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581512.0,2021-05-19 19:04:18.517186+00:00,2021-05-19 19:43:43.802899+00:00,7263331,Cabbage Rolls,Your Fresh Market,"Your Fresh Market Cabbage Rolls comprise hand rolled traditional cabbage rolls made with beef in a savoury tomato sauce. This fully cooked product can be oven-cooked or microwaved, and is free from artificial flavours and colours. It is ready in under six minutes and retails in a 1kg pack.",True,False,,,70,MINTEL,,,,62891741271.0,,,False,,http://www.gnpd.com/sinatra/recordpage/7263331/,Within Threshold,,,,,Combination Dishes,Combination dish not measurable with a cup,,,N,N.2,,,581512,1000 g,200 g,,,"Cabbage rolls (cabbage, lean ground beef, cooked rice, tomatoes (tomatoes, tomato puree), onions, liquid whole eggs, tomato paste, carrots, beef flavour (roasted beef and beef juices, salt, natural flavour, potato flour, caramel colour, corn oil, paprika, sulphites), seasoning (hydrolyzed soy protein), canola oil, vinegar, spices, garlic (garlic, water, citric acid)), water, tomatoes (tomatoes, citric acid), onions, modified corn starch, brown sugar, salt, soybean oil, garlic (garlic, water, citric acid), spices, caraway seeds, thyme",140.0,0.64,0.27,,0.04,6.0,0.09,,,,,2.0,,0.0,,,,16.0,0.05,,,,,,7.0,0.03,,,,,,,,,0.02,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581511.0,2021-05-19 19:04:18.478418+00:00,2021-05-19 19:43:43.795519+00:00,7263323,Smoked Chicken Breast,Deli Express,"Deli Express Smoked Chicken Breast has been relaunched with a new name brand name, previously known as Maple Leaf Deli Express, and is available in a newly designed 600g value size pack. This product is an excellent source of protein with 18% meat protein and is free from artificial flavours and gluten.",True,False,,,70,MINTEL,,,,6310028625.0,,,False,,http://www.gnpd.com/sinatra/recordpage/7263323/,Within Threshold,,,,,"Meat and Poultry, Products and Substitutes",Luncheon meat,,,L,L.4,,,581511,600 g,35 g,,,"Chicken, water, vinegar, salt, tapioca starch, flavour, dextrose, sodium phosphate, sodium erythorbate, sodium nitrite, smoke",30.0,0.3,0.12,,0.0,0.0,0.0,,,,,0.0,,0.0,,,,1.0,0.01,,,,,,6.0,0.01,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581541.0,2021-05-19 19:04:19.555247+00:00,2021-05-19 19:43:44.063070+00:00,7263271,Seasoned Potatoes Frozen Fried Potatoes,Great Value,"Great Value Seasoned Potatoes Frozen Fried Potatoes are now available. The product is seasoned with olive oil, garlic and parsley and is low in saturated fat and free of trans fat and cholesterol. It retails in a 550g pack bearing preparation instructions.",True,False,,,70,MINTEL,,,,62891583073.0,,,False,,http://www.gnpd.com/sinatra/recordpage/7263271/,Within Threshold,,,,,"Potatoes, Sweet Potatoes and Yams","French fries, fried potato",,,P,P.1,,,581541,550 g,85 g,,,"Potatoes, sunflower oil, olive oil, salt, garlic powder, dehydrated garlic, dehydrated parsley, onion powder",100.0,0.1,0.04,,0.0,3.0,0.05,,,,,0.0,,0.0,,,,17.0,0.06,,,,,,2.0,0.0,,,,,,,,,0.0,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581539.0,2021-05-19 19:04:19.484549+00:00,2021-05-19 19:43:44.048187+00:00,7263267,Tater Puffs Frozen Fried Potatoes,Great Value,Great Value Tater Puffs Frozen Fried have been repacked. The kosher certified product is low in saturated fat and free of trans fat and cholesterol. It retails in a newly-designed 1kg pack bearing preparation instructions.,True,False,,,70,MINTEL,,,,62891583079.0,,,False,,http://www.gnpd.com/sinatra/recordpage/7263267/,Within Threshold,,,,,"Potatoes, Sweet Potatoes and Yams","French fries, fried potato",,,P,P.1,,,581539,1000 g,85 g,,,"Potatoes, sunflower oil, dried potatoes, dextrose, salt, natural flavour, onion powder",140.0,0.24,0.1,,0.02,6.0,0.09,,,,,0.0,,0.0,,,,21.0,0.07,,,,,,2.0,0.0,,,,,,,,,0.0,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581544.0,2021-05-19 19:04:19.665574+00:00,2021-05-19 19:43:44.070408+00:00,7263277,Regular Scoop Fries,Great Value,"Great Value Regular Scoop Fries are now available. The product is described as crispy and perfect for dipping, and is low in saturated fat and free of trans fat and cholesterol. It retails in a 550g pack bearing preparation instructions.",True,False,,,70,MINTEL,,,,62891583071.0,,,False,,http://www.gnpd.com/sinatra/recordpage/7263277/,Within Threshold,,,,,Combination Dishes,Combination dish not measurable with a cup,,,N,N.2,,,581544,550 g,85 g,,,"Potatoes, rice flour, sunflower oil, salt, dextrin, sodium acid pyrophosphate, sodium bicarbonate, xanthan gum, dextrose, spice extracts",120.0,0.14,0.06,,0.0,3.0,0.05,,,,,0.0,,0.0,,,,20.0,0.07,,,,,,2.0,0.0,,,,,,,,,0.0,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581547.0,2021-05-19 19:04:19.779263+00:00,2021-05-19 19:43:44.092498+00:00,7263291,Yellow and Green Whole Beans,Great Value,Great Value Yellow and Green Whole Beans are now available in a newly designed pack. The Canada A grade product is kosher certified and 100% natural with no preservatives added. It can be heated in the microwave and retails in a 500g resealable pack bearing preparation instructions.,True,False,,,70,MINTEL,,,,62891582747.0,,,False,,http://www.gnpd.com/sinatra/recordpage/7263291/,Within Threshold,,,,,Vegetables,Vegetable without sauce,,,V,V.1,,,581547,500 g,85 g,,,"Green beans, yellow beans",25.0,0.0,0.0,,0.04,0.0,0.0,,,,,0.0,,0.0,,,,5.0,0.02,,,,,,1.0,0.0,,,,,,,,,0.02,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
