serving_size_raw_mintel,serving_size_raw_loblaws,serving_size_raw_exact_match,name_mintel,name_loblaws,name_exact_match,calories_mintel,calories_loblaws,calories_exact_match,saturatedfat_mintel,saturatedfat_loblaws,saturatedfat_exact_match,sodium_mintel,sodium_loblaws,sodium_exact_match,sugar_mintel,sugar_loblaws,sugar_exact_match,upc_code,total_match_count,date
10g,10g,True,Unsalted Plant-Based Spread,Plant Based Spread Unsalted,False,70.0,70.0,True,4.0,4.0,True,0.0,0.0,True,0.0,0.0,True,11115001547.0,5,July '22
10g,10g,True,Salted Plant-Based Spread,Becel Salted Plt Based Brick,False,70.0,70.0,True,4.0,4.0,True,0.075,0.075,True,0.0,0.0,True,11115001554.0,5,July '22
4g,8.0g,False,Organic Light Brown Sugar,Organic Light Brown Sugar,True,15.0,30.0,False,,0.0,False,,0.002,False,4.0,8.0,False,12511446413.0,1,July '22
57g,57g,True,Classic Cheddar Macaroni & Cheese,"Macaroni & Cheese, Classic Mild Cheddar",False,210.0,210.0,True,1.5,1.5,True,0.43,0.43,True,5.0,5.0,True,13562000500.0,5,July '22
104g,104g,True,Deluxe Shells & White Cheddar Macaroni & Cheese Sauce,Deluxe White Cheddar,False,330.0,330.0,True,6.0,6.0,True,0.79,0.79,True,3.0,3.0,True,13562119035.0,5,July '22
104g,104g,True,Deluxe Shells & Cheddar Macaroni & Cheese Sauce,Deluxe Cheddar,False,330.0,330.0,True,5.0,5.0,True,0.76,0.76,True,3.0,3.0,True,13562119042.0,5,July '22
50g,,False,Lightly Salted Pistachios,Pistachios No Shells Roasted Light Salt,False,290.0,,False,3.0,,False,0.115,,False,4.0,,False,14113700092.0,0,July '22
32g,32g,True,Korean Barbecue Beef Steak Strips,"Korean Barbeque Steak Strips, Seasoned & Smoked Beef",False,90.0,90.0,True,0.4,0.4,True,0.53,0.53,True,8.0,8.0,True,17082881588.0,5,July '22
32g,32g,True,Szechuan Peppercorn Beef Steak Strips,"Kitchen Szechuan Peppercorn Steak Strips, Seasoned & Smoked Beef",False,100.0,90.0,False,0.4,0.5,False,0.36,0.44,False,8.0,6.0,False,17082881649.0,1,July '22
50g,50g,True,Chocolate Crunch Cereal,GoLean Chocolate Crunch Cereal,False,200.0,200.0,True,1.5,1.5,True,0.115,0.115,True,10.0,10.0,True,18627102632.0,5,July '22
40g,40g,True,"Pistachio, Fig & Lemon Nut Bar","Bar, Pistachio Fig & Lemon",False,200.0,200.0,True,1.5,1.5,True,0.035,0.035,True,6.0,6.0,True,18627105466.0,5,July '22
40g,40g,True,"Raspberry, Dark Chocolate and Hazelnut Nut Bar","Nut Bars, Raspberry Dark Chocolate Hazelnut",False,220.0,220.0,True,2.5,2.5,True,0.05,0.05,True,5.0,5.0,True,18627106906.0,5,July '22
55g,55g,True,"Almond, Dark Chocolate and Mint Almond Butter Energy Nut Bar",Joi Almond Dark Chocolate Mint Bar,False,260.0,260.0,True,2.0,2.0,True,0.06,0.06,True,10.0,10.0,True,18627110361.0,5,July '22
50g,50g,True,Real Butter Microwave Popcorn,Boomchickapop Popcorn Real Butter 4 Microwave Fresh-Pop Bowls,False,260.0,260.0,True,8.0,8.0,True,0.3,0.3,True,0.0,0.0,True,18780017347.0,5,July '22
30ml,30ml,True,Original Medium Chunky Salsa,"Original Chunky Salsa, Medium",False,15.0,10.0,False,0.0,0.0,True,0.11,0.105,False,1.0,1.0,True,20662004505.0,3,July '22
30ml,30ml,True,Mango Medium Chunky Salsa,"Mango Salsa, Medium",False,25.0,20.0,False,0.0,0.0,True,0.23,0.18,False,5.0,3.0,False,20662004529.0,2,July '22
30ml,30ml,True,Pineapple Medium Chunky Salsa,"Salsa Pineapple, Medium",False,20.0,20.0,True,0.0,0.0,True,0.15,0.135,False,4.0,4.0,True,20662004543.0,4,July '22
0.5g,0.5g,True,Non-Stick Coconut Oil Cooking Spray,"Coconut Oil, Spray",False,0.0,0.0,True,,0.0,False,,0.0,False,,0.0,False,22506065604.0,2,July '22
10ml,15ml,False,Organic Virgin Coconut Oil,"Organic Virgin Coconut Oil, Unrefined",False,80.0,120.0,False,8.0,12.0,False,,0.0,False,,0.0,False,22506135642.0,0,July '22
100g,,False,Milk Infant Formula with Iron,"Organic Infant Formula, Milk",False,522.0,,False,,,False,0.118,,False,,,False,23923100381.0,0,July '22
85g,85g,True,Penne Rigate N°41 Tricolor Pasta,Pasta Penne Rigate No. 41 Tricolor,False,300.0,300.0,True,0.3,0.0,False,0.003,0.004,False,4.0,4.0,True,24094001491.0,3,July '22
250ml,250ml,True,Original Fortified Coconut Beverage,"SILK Coconut Beverage, Original, Dairy-Free, 1.89L",False,80.0,80.0,True,4.5,4.5,True,0.03,0.04,False,7.0,7.0,True,25293001527.0,4,July '22
250ml,250ml,True,Unsweetened Fortified Coconut Beverage,"SILK Coconut Beverage, Unsweetened, Dairy-Free, 1.89L",False,45.0,50.0,False,3.5,4.0,False,0.03,0.035,False,0.0,1.0,False,25293002449.0,1,July '22
250ml,250ml,True,Unsweetened Fortified Almond Coconut Beverage,"SILK Almond Coconut Blend Beverage, Unsweetened, Dairy-Free, 1.89L",False,35.0,35.0,True,1.0,1.0,True,0.28,0.28,True,0.0,0.0,True,25293002500.0,5,July '22
250ml,250ml,True,Original Fortified Cashew Beverage,"SILK Creamy Cashew Beverage, Original, Dairy-Free, 1.89L",False,60.0,60.0,True,0.4,0.5,False,0.16,0.16,True,8.0,8.0,True,25293002975.0,4,July '22
250ml,250ml,True,Dark Chocolate Flavoured Fortified Almond Beverage,"SILK Almond Milk, Dark Chocolate Flavour, Dairy-Free, 946ml",False,120.0,120.0,True,0.4,0.4,True,0.16,0.16,True,22.0,22.0,True,25293005525.0,5,July '22
250ml,250ml,True,Dark Chocolate Fortified Soy Beverage,"SILK Soy Beverage, Chocolate Flavour, Dairy-Free, 1.89L",False,140.0,140.0,True,0.5,0.5,True,0.085,0.085,True,18.0,18.0,True,25293600751.0,5,July '22
15ml,per15ml,False,Original Soy Beverage for Coffee,"SILK Soy for coffee, Original, 473ml",False,,20.0,False,0.5,0.5,True,0.0,0.0,True,1.0,1.0,True,25293600768.0,3,July '22
22g,22g,True,Original Mashed Potatoes,"Mashed Potatoes, Instant",False,80.0,80.0,True,0.1,0.0,False,0.01,0.015,False,0.0,1.0,False,29700001148.0,2,July '22
30g,30g,True,Arrowroot Animal Crunchy Cookies,Gluten Free Arrowroot Animals Crunchy Cookies,False,130.0,120.0,False,1.0,1.0,True,0.07,0.085,False,9.0,9.0,True,30684571923.0,3,July '22
30g,30g,True,Swedish Style Ginger Snaps,Cookie Ginger Snap,False,140.0,140.0,True,0.5,0.4,False,0.105,0.12,False,11.0,11.0,True,30684571992.0,3,July '22
243g,,False,Cheesy Chicken & Broccoli,Cheesy Chicken & Broccoli,True,220.0,,False,6.0,,False,0.95,,False,5.0,,False,31000009168.0,1,July '22
237g,237g,True,Three Meat & Four Cheese Lasagna,Three Meat and Four Cheese Lasagna Family Size,False,290.0,290.0,True,6.0,6.0,True,1.03,1.03,True,6.0,6.0,True,31000101879.0,5,July '22
225g,,False,Three Cheese Ziti,Three Cheese Ziti,True,310.0,,False,5.0,,False,0.95,,False,6.0,,False,31000508883.0,1,July '22
236g,236g,True,Hearty Three Meat Marinara,Three Meat Marinara Casserole,False,310.0,310.0,True,4.5,4.5,True,0.95,0.95,True,8.0,8.0,True,31000800260.0,5,July '22
86g,86g,True,Savoury Beef Flavoured Bowl Noodle Soup,"Bowl Noodle Soup, Beef Flavour",False,370.0,370.0,True,6.0,6.0,True,1.72,1.91,False,5.0,5.0,True,31146016822.0,4,July '22
75g,75g,True,Shrimp Crackers,NONG SHIM SHRIMP CRACKER,False,380.0,0.0,False,7.0,8.0,False,0.41,0.43,False,3.0,2.0,False,31146200122.0,1,July '22
250ml,,False,Cran-Tropical Cranberry Tropical Cocktail,Cran Tropical Cocktail,False,90.0,,False,,,False,0.01,,False,21.0,,False,31200006127.0,0,July '22
250ml,servingsize250ml,False,Cran-Mango Cranberry Mango Cocktail,Cranberry Mango Cocktail,False,110.0,110.0,True,,0.0,False,0.01,0.01,True,27.0,28.0,False,31200048264.0,2,July '22
295ml,servingsize295ml,False,Low Calorie Cranberry Beverage,"Juice Drink, Diet Cranberry",False,10.0,10.0,True,,0.0,False,0.05,0.025,False,1.0,0.0,False,31200456830.0,1,July '22
42g,42g,True,Milk Chocolate Hazelnut Oysters,Masterpieces Milk Chocolate Hazelnut Oyster,False,230.0,230.0,True,8.0,8.0,True,0.025,0.025,True,21.0,21.0,True,31290119561.0,5,July '22
1.75g,,False,Organic Raspberry Leaf Tea,Organic Raspberry Leaf Herbal Tea,False,,,False,,,False,,,False,,,False,32917000798.0,0,July '22
1.3g,,False,Organic Caffeine Free Chamomile Tea,Organic Classic Chamomile Herbal Tea,False,,,False,,,False,,,False,,,False,32917100566.0,0,July '22
,,False,Organic Echinacea Plus Elderberry Natural Health Product Tea,Organic Echinacea Plus Elderberry Herbal Tea,False,,,False,,,False,,,False,,,False,32917101549.0,0,July '22
,,False,Organic Ginger Aid Natural Health Product Tea,Organic Ginger Aid Herbal Tea,False,,,False,,,False,,,False,,,False,32917101655.0,0,July '22
1.5g,,False,Organic Ginger Tea,Organic Ginger Herbal Tea,False,,,False,,,False,,,False,,,False,32917101730.0,0,July '22
2g,,False,Organic Nettle Leaf Tea,Organic Nettle Leaf Herbal Tea,False,,,False,,,False,,,False,,,False,32917101815.0,0,July '22
1.5g,,False,Organic Nighty Night Extra Valerian Tea,Organic Nighty Night Valerian Tea,False,,,False,,,False,,,False,,,False,32917101938.0,0,July '22
240ml,,False,Organic Hibiscus Tea,Organic Hibiscus Tea,True,0.0,,False,,,False,,,False,,,False,32917101952.0,1,July '22
15g,15g,True,Creamy Peanut Butter and Flaxseed,Creamy Peanut Butter & Flax,False,90.0,90.0,True,1.5,1.5,True,0.055,0.05,False,1.0,1.0,True,33776100919.0,4,July '22
150g,150g,True,Peach Almond Yogurt Alternative,"SILK Almond Peach Dairy-free yogurt-style, 150g",False,180.0,180.0,True,1.0,1.0,True,0.055,0.055,True,12.0,12.0,True,36632072245.0,5,July '22
250ml,,False,Vanilla Flavoured Dairy-Free Fortified Oat Beverage,"Oat Yeah Oat Beverage, Vanilla",False,90.0,,False,0.2,,False,0.125,,False,6.0,,False,36632072412.0,0,July '22
150g,150g,True,Berries & Acai Almond Yogurt Alternative,Yogurt Cultured Almond Berries Acai,False,190.0,190.0,True,1.0,1.0,True,0.075,0.075,True,13.0,13.0,True,36632072610.0,5,July '22
145g,,False,Vanilla-Cinnamon Almond Probiotic Delight,"Activia Vanilla Cinnamon Almond Probiotic Delight , 145g",False,120.0,,False,0.3,,False,0.025,,False,8.0,,False,36632075154.0,0,July '22
145g,,False,Peach-Hibiscus Almond Probiotic Delight,"Activia Peach Hibiscus Almond Probiotic Delight, 145g",False,120.0,,False,0.3,,False,0.02,,False,8.0,,False,36632075178.0,0,July '22
15ml,,False,Vanilla Almond for Coffee Coffee Whitener,"Dairy Free Coffee Whitener ,Almond Vanilla",False,25.0,,False,0.0,,False,0.015,,False,4.0,,False,36632075451.0,0,July '22
15ml,per15ml,False,Savory Dill Yogurt Salad Dressing,"Salad Dressing, Yogurt & Dill",False,30.0,30.0,True,0.2,0.2,True,0.14,0.14,True,1.0,1.0,True,39045392894.0,4,July '22
